2026-03-20 21:03:23 | WARNING | oi_screener | [LUNCUSDT] Не удалось сменить плечо: {'code': 20004, 'msg': 'TE_ERR_INCONSISTENT_POS_MODE', 'data': None}
2026-03-20 21:03:23 | WARNING | oi_screener | [LUNCUSDT] Ошибка выставления: 20004 - TE_ERR_INCONSISTENT_POS_MODE
2026-03-20 21:03:25 | WARNING | oi_screener | [FLOWUSDT] Не удалось сменить плечо: {'code': 20004, 'msg': 'TE_ERR_INCONSISTENT_POS_MODE', 'data': None}
2026-03-20 21:03:25 | WARNING | oi_screener | [FLOWUSDT] Ошибка выставления: 20004 - TE_ERR_INCONSISTENT_POS_MODE
2026-03-20 21:03:27 | WARNING | oi_screener | [NEOUSDT] Не удалось сменить плечо: {'code': 20004, 'msg': 'TE_ERR_INCONSISTENT_POS_MODE', 'data': None}
2026-03-20 21:03:27 | WARNING | oi_screener | [NEOUSDT] Ошибка выставления: 20004 - TE_ERR_INCONSISTENT_POS_MODE
2026-03-20 21:03:29 | WARNING | oi_screener | [ACHUSDT] Не удалось сменить плечо: {'code': 20004, 'msg': 'TE_ERR_INCONSISTENT_POS_MODE', 'data': None}
2026-03-20 21:03:30 | WARNING | oi_screener | [ACHUSDT] Ошибка выставления: 20004 - TE_ERR_INCONSISTENT_POS_MODE
2026-03-20 21:03:31 | WARNING | oi_screener | [BANDUSDT] Не удалось сменить плечо: {'code': 20004, 'msg': 'TE_ERR_INCONSISTENT_POS_MODE', 'data': None}
2026-03-20 21:03:32 | WARNING | oi_screener | [BANDUSDT] Ошибка выставления: 20004 - TE_ERR_INCONSISTENT_POS_MODE
2026-03-20 21:03:33 | WARNING | oi_screener | [VETUSDT] Не удалось сменить плечо: {'code': 20004, 'msg': 'TE_ERR_INCONSISTENT_POS_MODE', 'data': None}
2026-03-20 21:03:33 | WARNING | oi_screener | [VETUSDT] Ошибка выставления: 20004 - TE_ERR_INCONSISTENT_POS_MODE
2026-03-20 21:03:35 | WARNING | oi_screener | [API3USDT] Не удалось сменить плечо: {'code': 20004, 'msg': 'TE_ERR_INCONSISTENT_POS_MODE', 'data': None}
2026-03-20 21:03:36 | WARNING | oi_screener | [API3USDT] Ошибка выставления: 20004 - TE_ERR_INCONSISTENT_POS_MODE
2026-03-20 21:03:37 | WARNING | oi_screener | [SUSHIUSDT] Не удалось сменить плечо: {'code': 20004, 'msg': 'TE_ERR_INCONSISTENT_POS_MODE', 'data': None}
2026-03-20 21:03:37 | WARNING | oi_screener | [SUSHIUSDT] Ошибка выставления: 20004 - TE_ERR_INCONSISTENT_POS_MODE
2026-03-20 21:03:39 | WARNING | oi_screener | [ENJUSDT] Не удалось сменить плечо: {'code': 20004, 'msg': 'TE_ERR_INCONSISTENT_POS_MODE', 'data': None}
2026-03-20 21:03:39 | WARNING | oi_screener | [ENJUSDT] Ошибка выставления: 20004 - TE_ERR_INCONSISTENT_POS_MODE
2026-03-20 21:03:41 | INFO | oi_screener | [XTZUSDT] ✅ ОРДЕР ВСТАЛ! Ответ: {'code': 0, 'msg': '', 'data': {'bizError': 0, 'orderID': 'f0b12c8c-3d63-42c0-b092-58c665ca32e3', 'clOrdID': '', 'symbol': 'XTZUSDT', 'side': 'Buy', 'actionTimeNs': 1774033421688424101, 'transactTimeNs': 1774033421688424101, 'orderType': 'Limit', 'priceRp': '0.337', 'orderQtyRq': '66.7', 'displayQtyRq': '0', 'timeInForce': 'GoodTillCancel', 'closedPnlRv': '0', 'closedSizeRq': '0', 'cumQtyRq': '0', 'cumValueRv': '0', 'leavesQtyRq': '66.7', 'leavesValueRv': '22.4779', 'stopDirection': 'UNSPECIFIED', 'stopPxRp': '0', 'trigger': 'UNSPECIFIED', 'pegOffsetValueRp': '0', 'pegOffsetProportionRr': '0', 'execStatus': 'PendingNew', 'pegPriceType': 'UNSPECIFIED', 'ordStatus': 'Created', 'execInst': 'None', 'takeProfitRp': '0', 'stopLossRp': '0', 'slPxRp': '0', 'tpPxRp': '0'}}
2026-03-20 21:03:41 | INFO | oi_screener | [XTZUSDT] 🗑️ Ордер f0b12c8c-3d63-42c0-b092-58c665ca32e3 моментально отменен.
